S000001642	YKL159C
S000034776	
S000001640	YKL157W
S000033809	
S000033810	
S000033811	
S000001639	YKL156W
S000033664	
S000033665	
S000033666	
S000028668	YKL156C-A
S000032493	
S000001638	YKL155C
S000033531	
S000001637	YKL154W
S000033491	
S000006716	tR(UCU)K
S000037862	
S000007056	YKLWdelta3
S000001636	YKL153W
S000032752	
S000001635	YKL152C
S000032605	
S000001634	YKL151C
S000031623	
S000001633	YKL150W
S000031554	
S000122105	
S000001632	YKL149C
S000031536	
S000001631	YKL148C
S000030671	
S000001629	YKL146W
S000030513	
S000001630	YKL147C
S000030585	
S000001628	YKL145W
S000030368	
S000028841	YKL145W-A
S000034526	
S000001627	YKL144C
S000037515	
S000001626	YKL143W
S000037465	
S000001625	YKL142W
S000036742	
S000001624	YKL141W
S000036643	
S000001623	YKL140W
S000036522	
S000001622	YKL139W
S000036668	
S000028421	YKL138C-A
S000029957	
S000001621	YKL138C
S000035696	
S000001620	YKL137W
S000035632	
S000001619	YKL136W
S000035555	
S000001618	YKL135C
S000034478	
S000001617	YKL134C
S000034401	
S000001616	YKL133C
S000034300	
S000001614	YKL131W
S000033359	
S000001615	YKL132C
S000033390	
S000001613	YKL130C
S000033257	
S000119036	ARS1126
S000001612	YKL129C
S000032500	
S000001611	YKL128C
S000032407	
S000007054	YKLCsigma1
S000006626	tK(CUU)K
S000036035	
S000001610	YKL127W
S000032331	
S000001609	YKL126W
S000031322	
S000001608	YKL125W
S000031219	
S000001607	YKL124W
S000031112	
S000001606	YKL123W
S000030083	
S000001605	YKL122C
S000029913	
S000119037	ARS1127
S000001604	YKL121W
S000029872	
S000001603	YKL120W
S000037208	
S000001601	YKL118W
S000036185	
S000001602	YKL119C
S000036236	
S000007051	YKLCdelta4
S000006515	tA(AGC)K1
S000036246	
S000001600	YKL117W
S000035238	
S000001599	YKL116C
S000034995	
S000001598	YKL115C
S000034081	
S000001597	YKL114C
S000033938	
S000001596	YKL113C
S000033801	
S000001595	YKL112W
S000033734	
S000001594	YKL111C
S000032984	
S000001593	YKL110C
S000032867	
S000001592	YKL109W
S000032773	
S000001591	YKL108W
S000032698	
S000001590	YKL107W
S000032626	
S000007616	YKL106C-A
S000037214	
S000001589	YKL106W
S000031616	
S000001588	YKL105C
S000031413	
S000001587	YKL104C
S000030506	
S000001586	YKL103C
S000030363	
S000001585	YKL102C
S000030203	
S000001584	YKL101W
S000037537	
S000028840	YKL100W-A
S000034525	
S000001583	YKL100C
S000037360	
S000001582	YKL099C
S000031999	
S000001581	YKL098W
S000031070	
S000001580	YKL097C
S000030940	
S000028667	YKL096C-B
